gene,category,subcategory
SERPINA3,DEG (Table S3),Subtype 1
NTM,DEG (Table S3),Subtype 1
DTX3L,DEG (Table S3),Subtype 1
LOC107985194,DEG (Table S3),Subtype 1
DKK3,DEG (Table S3),Subtype 1
RTBDN,DEG (Table S3),Subtype 1
GREM2,DEG (Table S3),Subtype 1
IRF9,DEG (Table S3),Subtype 1
PRSS33,DEG (Table S3),Subtype 1
CRYM,DEG (Table S3),Subtype 1
RDH12,DEG (Table S3),Subtype 1
HLA-B,DEG (Table S3),Subtype 1
MYO5B,DEG (Table S3),Subtype 1
USH2A,DEG (Table S3),Subtype 1
C1QA,DEG (Table S3),Subtype 1
ABCA4,DEG (Table S3),Subtype 1
HOPX,DEG (Table S3),Subtype 1
CD19,DEG (Table S3),Subtype 1
OPN1SW,DEG (Table S3),Subtype 1
MYL4,DEG (Table S3),Subtype 1
IFI6,DEG (Table S3),Subtype 1
DAPL1,DEG (Table S3),Subtype 1
ANKRD6,DEG (Table S3),Subtype 1
LYZ,DEG (Table S3),Subtype 1
S100A8,DEG (Table S3),Subtype 1
RS1,DEG (Table S3),Subtype 1
PKIB,DEG (Table S3),Subtype 1
IMPDH1,DEG (Table S3),Subtype 1
SEC14L5,DEG (Table S3),Subtype 1
VAMP8,DEG (Table S3),Subtype 1
HLA-DMA,DEG (Table S3),Subtype 1
GRAMD2B,DEG (Table S3),Subtype 1
PRR16,DEG (Table S3),Subtype 1
TDRG1,DEG (Table S3),Subtype 1
MAMDC2,DEG (Table S3),Subtype 1
PRPH2,DEG (Table S3),Subtype 1
GUCA1A,DEG (Table S3),Subtype 1
CD14,DEG (Table S3),Subtype 1
C1QC,DEG (Table S3),Subtype 1
SCN2A,DEG (Table S3),Subtype 1
WFDC1,DEG (Table S3),Subtype 1
SORCS1,DEG (Table S3),Subtype 1
RRAD,DEG (Table S3),Subtype 1
PLA2G5,DEG (Table S3),Subtype 1
RP1,DEG (Table S3),Subtype 1
ANKRD55,DEG (Table S3),Subtype 1
AKR1C3,DEG (Table S3),Subtype 1
C1QB,DEG (Table S3),Subtype 1
GNAT2,DEG (Table S3),Subtype 1
KLHL41,DEG (Table S3),Subtype 1
GUCA1B,DEG (Table S3),Subtype 1
HLA-DPA1,DEG (Table S3),Subtype 1
CA2,DEG (Table S3),Subtype 1
EPB41L3,DEG (Table S3),Subtype 1
LOC101929255,DEG (Table S3),Subtype 1
ARR3,DEG (Table S3),Subtype 1
IFIT1,DEG (Table S3),Subtype 1
PDC,DEG (Table S3),Subtype 1
SAG,DEG (Table S3),Subtype 1
HLA-DRB1,DEG (Table S3),Subtype 1
WIF1,DEG (Table S3),Subtype 1
HLA-DRA,DEG (Table S3),Subtype 1
IMPG1,DEG (Table S3),Subtype 1
MPP4,DEG (Table S3),Subtype 1
GPR160,DEG (Table S3),Subtype 1
EGF,DEG (Table S3),Subtype 1
TPBG,DEG (Table S3),Subtype 1
GUCA1C,DEG (Table S3),Subtype 1
GAL,Retinal markers (Lu 2020),AC/HC_Precurs
CCK,Retinal markers (Lu 2020),AC/HC_Precurs
HES6,Retinal markers (Lu 2020),AC/HC_Precurs
PRDM13,Retinal markers (Lu 2020),AC/HC_Precurs
BNIP3,Retinal markers (Lu 2020),AC/HC_Precurs
PDLIM4,Retinal markers (Lu 2020),AC/HC_Precurs
CD9,Retinal markers (Lu 2020),AC/HC_Precurs
IGFBP2,Retinal markers (Lu 2020),AC/HC_Precurs
FAM162A,Retinal markers (Lu 2020),AC/HC_Precurs
MSRB1,Retinal markers (Lu 2020),AC/HC_Precurs
LIMD2,Retinal markers (Lu 2020),AC/HC_Precurs
